selling_price,km_driven,fuel,seller_type,transmission,owner,age
11.918397239722838,0.7133014371625558,1,0,0,1,0.32142857142857145
12.765691290604371,0.22935426309294996,0,0,1,2,0.32142857142857145
12.676079399771027,0.1834824930389589,0,0,0,1,0.14285714285714285
12.899222326086994,0.4587131133629053,1,0,0,3,0.17857142857142858
12.07254696717504,0.3669695732549232,0,0,0,3,0.2857142857142857
11.695255355062795,0.41284134330891425,0,0,0,2,0.32142857142857145
12.676079399771027,0.41284134330891425,1,0,0,2,0.25
11.156264806643742,0.5045848834168964,0,0,0,3,0.5
13.60479076121576,0.0688030679039812,0,0,0,1,0.03571428571428571
11.461642696843066,0.4587131133629053,0,0,0,2,0.4642857142857143
12.549665896013254,0.1834824930389589,2,0,0,1,0.0
11.289794413577894,0.27522603314694105,0,0,0,2,0.5714285714285714
11.184435286790631,0.11467483795797229,0,0,0,1,0.25
13.304686600863562,0.11467483795797229,0,0,0,1,0.14285714285714285
13.369225017834633,0.10550048394717407,0,0,0,1,0.17857142857142858
12.847929163278053,0.10162431937761182,0,0,0,1,0.07142857142857142
13.384729180332174,0.3210978032009321,0,0,0,1,0.07142857142857142
11.918397239722838,0.27522603314694105,0,0,0,2,0.39285714285714285
12.54254845357358,0.5045848834168964,0,0,0,2,0.39285714285714285
12.971542813248437,0.13761072298496782,0,0,0,1,0.07142857142857142
13.592368256649284,0.0688030679039812,1,0,0,1,0.03571428571428571
11.225256725762893,0.4587131133629053,1,0,0,2,0.6071428571428571
13.384729180332174,0.3210978032009321,1,0,1,1,0.14285714285714285
12.873904582205107,0.11008766095257318,0,0,0,1,0.10714285714285714
11.51293546492023,0.5504566534708875,0,0,0,2,0.5357142857142857
14.220976332738882,0.16054660801196335,1,0,1,1,0.25
12.07254696717504,0.3595383465061766,0,0,0,1,0.4642857142857143
12.983101310070822,0.5045848834168964,1,0,0,2,0.2857142857142857
12.04355959836804,0.41284134330891425,1,0,0,3,0.35714285714285715
12.154784614286667,0.41284134330891425,1,0,0,3,0.32142857142857145
12.429220196836383,0.6880719636328607,1,0,0,3,0.39285714285714285
11.849404844423074,0.3210978032009321,0,0,0,3,0.5
13.304686600863562,0.3686301313308777,1,0,0,1,0.10714285714285714
12.54254845357358,0.5045848834168964,0,0,0,3,0.2857142857142857
11.918397239722838,0.27522603314694105,1,0,0,1,0.2857142857142857
13.384729180332174,0.22935426309294996,1,0,1,1,0.17857142857142858
12.25486757159303,0.1834824930389589,0,0,0,2,0.21428571428571427
14.88022163978423,0.1834824930389589,1,0,1,1,0.10714285714285714
12.959846800844963,0.09173895293097675,1,1,0,1,0.25
