Screen Size,RAM,Operating System Version,Weight,Price,Category_2 in 1 Convertible,Category_Gaming,Category_Netbook,Category_Notebook,Category_Ultrabook,Category_Workstation,x_res,y_res,isApple,isTouchScreen,cpuSpeed,cpu_tier,ssd_gb,hdd_gb,gpu_power,has_dgpu,isMac
14.0,8,10.0,1.63,15.849839795099816,0,0,0,1,0,0,1920,1080,0,0,6.0,3,256.0,0.0,0.0,0,0
15.6,4,10.0,2.2,15.081868973830147,0,0,0,1,0,0,1920,1080,0,0,5.0,0,128.0,0.0,0.0,0,0
15.6,4,10.0,2.1,15.071793324695646,0,0,0,1,0,0,1366,768,0,0,3.0,0,0.0,1024.0,0.0,0,0
15.6,16,10.0,2.65,16.30002621465777,0,1,0,0,0,0,1920,1080,0,0,8.0,4,128.0,1024.0,4.0,1,0
15.6,8,10.0,1.83,15.64255817820578,0,0,0,0,1,0,1920,1080,0,0,8.0,4,256.0,0.0,3.0,1,0
15.6,8,10.0,1.96,15.488152366319792,0,0,0,1,0,0,1920,1080,0,0,5.0,3,256.0,0.0,0.0,0,0
15.6,16,10.0,2.2,16.371536295017354,0,1,0,0,0,0,1920,1080,0,0,8.0,4,128.0,1024.0,4.0,1,0
13.3,8,10.0,1.21,16.50083166584298,0,0,0,0,1,0,1920,1080,0,0,8.0,4,256.0,0.0,0.0,0,0
15.6,8,10.0,2.45,15.64255817820578,0,1,0,0,0,0,1920,1080,0,0,3.0,0,0.0,1024.0,5.0,1,0
15.6,8,10.0,2.2,15.62814870932072,0,0,0,1,0,0,1920,1080,0,0,8.0,4,0.0,1024.0,2.0,1,0
13.3,16,10.0,1.49,16.180481074594134,0,0,0,1,0,0,1920,1080,0,0,8.0,4,512.0,0.0,0.0,0,0
15.6,8,10.0,2.65,16.178808833559014,0,1,0,0,0,0,1920,1080,0,0,5.0,3,256.0,0.0,4.0,1,0
14.0,8,10.0,1.25,16.04849999068785,0,0,0,0,1,0,1920,1080,0,0,7.0,4,256.0,0.0,0.0,0,0
13.3,8,10.0,1.5,15.834608102511384,1,0,0,0,0,0,1920,1080,0,1,6.0,3,256.0,0.0,0.0,0,0
15.6,8,10.0,2.2,15.489670437208758,0,0,0,1,0,0,1920,1080,0,0,7.0,4,0.0,1024.0,0.0,0,0
15.6,4,10.0,2.2,15.27705639789915,0,0,0,1,0,0,1920,1080,0,0,2.0,2,256.0,0.0,0.0,0,0
15.6,6,10.0,2.0,15.450749736497954,0,0,0,1,0,0,1920,1080,0,0,4.0,2,256.0,0.0,0.0,0,0
15.6,12,10.0,2.62,16.223005875250205,0,1,0,0,0,0,1920,1080,0,0,8.0,4,128.0,1024.0,4.0,1,0
15.6,8,10.0,1.91,15.670768789217693,0,0,0,1,0,0,1920,1080,0,0,7.0,4,256.0,0.0,0.0,0,0
15.6,4,10.0,2.1,14.94797951952325,0,0,0,1,0,0,1920,1080,0,0,5.0,0,0.0,500.0,0.0,0,0
15.6,8,10.0,2.2,15.56525374340358,0,0,0,1,0,0,1920,1080,0,0,6.0,3,0.0,1024.0,0.0,0,0
13.3,8,10.0,1.38,16.113098083897025,0,0,0,0,1,0,1920,1080,0,0,7.0,4,256.0,0.0,2.0,1,0
13.5,8,10.0,1.252,16.29333225195489,0,0,0,0,1,0,2256,1504,0,1,5.0,3,256.0,0.0,0.0,0,0
14.0,6,10.0,1.58,15.583630980240052,0,0,0,1,0,0,1920,1080,0,0,5.0,3,256.0,0.0,2.0,1,0
15.6,4,10.0,1.85,15.120945073477678,0,0,0,1,0,0,1920,1080,0,0,2.0,2,0.0,1024.0,0.0,0,0
14.0,8,10.0,1.3,16.17713379144909,0,0,0,0,1,0,1920,1080,0,0,7.0,4,256.0,0.0,2.0,1,0
15.6,16,10.0,2.2,16.262257378329462,0,1,0,0,0,0,1920,1080,0,0,8.0,4,256.0,1024.0,4.0,1,0
14.0,8,10.0,1.58,16.39270471782916,0,0,0,1,0,0,1920,1080,0,0,7.0,4,256.0,0.0,0.0,0,0
15.6,16,10.0,1.5,16.233360407298267,0,0,0,0,1,0,1920,1080,0,0,8.0,4,256.0,1024.0,2.0,1,0
13.3,8,10.0,1.23,16.322021234429698,0,0,0,0,1,0,3200,1800,0,1,4.0,4,256.0,0.0,1.0,0,0
13.3,8,10.0,1.37,16.33642033013601,1,0,0,0,0,0,1920,1080,0,1,5.0,3,256.0,0.0,0.0,0,0
14.0,4,10.0,1.63,15.67493256973956,0,0,0,1,0,0,1366,768,0,0,6.0,3,0.0,500.0,0.0,0,0
13.3,8,10.0,1.21,16.488628952722742,0,0,0,0,1,0,1920,1080,0,0,6.0,3,256.0,0.0,0.0,0,0
13.3,8,10.0,1.26,16.33641318214821,1,0,0,0,0,0,1920,1080,0,1,6.0,3,256.0,0.0,0.0,0,0
14.0,8,10.0,1.63,16.08132056082965,0,0,0,1,0,0,1920,1080,0,0,8.0,4,512.0,0.0,0.0,0,0
15.6,8,10.0,2.16,16.123172279048294,0,0,0,1,0,0,1920,1080,0,0,8.0,4,256.0,1024.0,2.0,1,0
17.3,4,10.0,2.0,15.427961725980422,0,0,0,1,0,0,1920,1080,0,0,2.0,2,0.0,1024.0,2.0,1,0
15.6,8,10.0,1.7,16.11220402939004,0,0,0,1,0,0,1920,1080,0,0,8.0,4,256.0,0.0,2.0,1,0
15.6,6,10.0,2.1,15.264608107277102,0,0,0,1,0,0,1920,1080,0,1,4.0,2,0.0,1024.0,0.0,0,0
15.6,16,10.0,1.8,16.807807888851624,0,1,0,0,0,0,1920,1080,0,0,8.0,4,256.0,2048.0,4.0,1,0
